-0.02900,-0.07900,-0.04900,0.05400,0.01100,-0.06400,0.00500,-0.05100,-0.11600,-0.10300,-0.07600,-0.06600
-0.03500,-0.07000,-0.03500,0.05200,0.00000,-0.05200,0.01300,-0.04700,-0.12000,-0.10400,-0.07900,-0.06800
-0.05400,-0.05700,-0.00300,0.05600,-0.02500,-0.03000,0.01900,-0.04800,-0.10500,-0.07800,-0.06600,-0.05400
-0.07800,-0.12000,-0.04200,0.10000,-0.01800,-0.08100,0.03000,-0.00500,-0.09300,-0.09800,-0.08800,-0.07100
-0.08800,-0.06100,0.02700,0.07400,-0.05700,-0.01700,0.05900,0.08200,-0.00800,-0.02800,-0.02100,-0.01800
-0.02200,-0.01700,0.00500,0.01900,-0.01300,-0.00600,0.08200,0.13900,0.20500,0.15600,0.09700,0.06300
0.34600,0.25100,-0.09500,-0.29800,0.22000,0.07800,-0.00800,0.28300,0.57000,0.51400,0.38900,0.31400
0.78400,0.57200,-0.21200,-0.67800,0.49800,0.17900,-0.45400,-0.20200,0.81800,0.90100,0.69600,0.59000
0.42600,0.24800,-0.17800,-0.33700,0.30200,0.03400,-0.74400,-1.03100,-0.22600,0.16100,0.18200,0.23900
-0.07600,-0.03500,0.04100,0.05500,-0.05800,0.00300,-0.38800,-0.66900,-0.75200,-0.35800,-0.17500,-0.06200
-0.04300,-0.09200,-0.04900,0.06800,0.00300,-0.07000,-0.03300,-0.01600,-0.16800,-0.11800,-0.06800,-0.04200
-0.05000,-0.12200,-0.07200,0.08700,0.01100,-0.09700,0.00700,0.00800,-0.12400,-0.10400,-0.09900,-0.03600
-0.06700,-0.09000,-0.02300,0.07900,-0.02200,-0.05600,0.02300,0.01600,-0.10200,-0.05100,-0.06600,-0.02200
-0.02900,-0.09000,-0.06100,0.06000,0.01600,-0.07500,0.04000,0.01000,-0.08500,-0.07900,-0.07400,-0.06400
-0.04400,-0.07500,-0.03100,0.06000,-0.00600,-0.05300,0.03900,0.00500,-0.08400,-0.07300,-0.06100,-0.05500
-0.06400,-0.10400,-0.04000,0.08400,-0.01200,-0.07200,0.03600,0.00600,-0.05100,-0.06100,-0.05400,-0.05300
-0.04300,-0.06700,-0.02400,0.05500,-0.00900,-0.04600,0.03300,-0.00500,-0.06700,-0.06900,-0.05800,-0.05000
-0.03400,-0.05600,-0.02200,0.04600,-0.00600,-0.03900,0.03000,0.01400,-0.04000,-0.05100,-0.05200,-0.04200
-0.04700,-0.09600,-0.04900,0.07200,0.00100,-0.07200,0.03100,0.01400,-0.04900,-0.05900,-0.05800,-0.04200
-0.04400,-0.09600,-0.05200,0.07000,0.00500,-0.07400,0.04900,0.03800,-0.03200,-0.04600,-0.05200,-0.03400
-0.05800,-0.07300,-0.01500,0.06500,-0.02100,-0.04300,0.04900,0.04700,-0.03100,-0.05000,-0.05700,-0.03600
-0.04300,-0.03000,0.01300,0.03600,-0.02700,-0.00900,0.04000,0.04200,-0.02200,-0.04300,-0.05200,-0.03300
-0.03900,-0.02500,0.01400,0.03100,-0.02600,-0.00500,0.03500,0.04200,-0.01500,-0.04200,-0.05100,-0.03000
-0.05000,-0.03200,0.01800,0.04000,-0.03300,-0.00700,0.02600,0.03600,-0.01100,-0.04000,-0.04700,-0.03000
-0.03000,-0.02000,0.01100,0.02400,-0.02000,-0.00400,0.02300,0.03600,-0.00400,-0.03600,-0.04500,-0.02900
-0.02200,0.00400,0.02600,0.00900,-0.02400,0.01500,0.01400,0.03300,-0.00200,-0.03000,-0.04200,-0.03100
-0.02000,0.01500,0.03400,0.00200,-0.02700,0.02400,0.00900,0.03800,0.00400,-0.02200,-0.04000,-0.03600
-0.00600,0.03700,0.04300,-0.01500,-0.02500,0.03900,-0.00400,0.05300,0.00800,-0.01600,-0.03700,-0.03300
0.00900,0.08900,0.08000,-0.04900,-0.03600,0.08400,-0.01800,0.05600,0.02300,-0.00900,-0.02900,-0.02800
0.01300,0.09400,0.08100,-0.05400,-0.03400,0.08800,-0.02300,0.07500,0.04500,-0.00300,-0.02200,-0.02400
0.01700,0.09500,0.07800,-0.05600,-0.03100,0.08600,-0.04800,0.08900,0.05700,0.00100,-0.01600,-0.02000
0.03100,0.11300,0.08200,-0.07200,-0.02600,0.09700,-0.05800,0.08700,0.08100,0.00700,-0.00900,-0.01300
0.06600,0.14500,0.07800,-0.10500,-0.00600,0.11100,-0.08700,0.08600,0.09700,0.01000,-0.00400,-0.00400
0.10100,0.18200,0.08100,-0.14200,0.01000,0.13100,-0.13000,0.08200,0.10600,0.01500,0.00100,0.00500
0.10700,0.18700,0.08000,-0.14700,0.01300,0.13300,-0.14500,0.08000,0.11900,0.02000,0.00400,0.01300
0.14500,0.22400,0.07900,-0.18500,0.03300,0.15100,-0.16800,0.07600,0.11100,0.01700,0.00700,0.02200
0.17200,0.24400,0.07100,-0.20800,0.05000,0.15700,-0.18000,0.07500,0.10400,0.01400,0.01200,0.03300
0.20000,0.24200,0.04200,-0.22100,0.07900,0.14100,-0.19500,0.07100,0.09500,0.01600,0.01500,0.02900
0.19300,0.24900,0.05600,-0.22200,0.06800,0.15300,-0.18900,0.06400,0.09000,0.01500,0.01200,0.02400
0.11600,0.20500,0.08800,-0.16100,0.01400,0.14600,-0.14000,0.05800,0.07700,0.01500,0.01000,0.01800
0.07200,0.15600,0.08500,-0.11400,-0.00700,0.12000,-0.10000,0.05100,0.04300,0.01400,0.00800,0.01200
0.02600,0.11500,0.08900,-0.07100,-0.03100,0.10200,-0.06400,0.04500,-0.00700,-0.02000,-0.02000,-0.00800
-0.01800,0.07300,0.09100,-0.02700,-0.05500,0.08200,-0.03800,0.02700,-0.05000,-0.04500,-0.05200,-0.03900
-0.03700,0.05500,0.09200,-0.00900,-0.06500,0.07300,-0.02800,0.00900,-0.07300,-0.05700,-0.05500,-0.05000
